Sample,Density
PC6503-F1-0cm3cm-Rep1-WFSIP01,1.7581
PC6503-G1-0cm3cm-Rep1-WFSIP01,1.7526
PC6503-H1-0cm3cm-Rep1-WFSIP01,1.7483
PC6503-A2-0cm3cm-Rep1-WFSIP01,1.7439
PC6503-B2-0cm3cm-Rep1-WFSIP01,1.7384
PC6503-C2-0cm3cm-Rep1-WFSIP01,1.7351
PC6503-D2-0cm3cm-Rep1-WFSIP01,1.7297
PC6503-E2-0cm3cm-Rep1-WFSIP01,1.7264
PC6503-F2-0cm3cm-Rep1-WFSIP01,1.722
PC6503-G2-0cm3cm-Rep1-WFSIP01,1.7177
PC6503-H2-0cm3cm-Rep1-WFSIP01,1.7144
PC6503-A3-0cm3cm-Rep1-WFSIP01,1.7111
PC6503-B3-0cm3cm-Rep1-WFSIP01,1.7067
PC6503-C3-0cm3cm-Rep1-WFSIP01,1.7045
PC6503-D3-0cm3cm-Rep1-WFSIP01,1.698
PC6503-E3-0cm3cm-Rep1-WFSIP01,1.6947
PC6503-F3-0cm3cm-Rep1-WFSIP01,1.6903
PC6503-G3-0cm3cm-Rep1-WFSIP01,1.6871
PC6503-H3-0cm3cm-Rep1-WFSIP01,1.6827
PC6503-A4-0cm3cm-Rep1-WFSIP01,1.6794
WF52-H1-0cm3cm-Rep1-WFSIP01,1.7559
WF52-A2-0cm3cm-Rep1-WFSIP01,1.7515
WF52-B2-0cm3cm-Rep1-WFSIP01,1.7428
WF52-C2-0cm3cm-Rep1-WFSIP01,1.7406
WF52-D2-0cm3cm-Rep1-WFSIP01,1.7373
WF52-E2-0cm3cm-Rep1-WFSIP01,1.733
WF52-F2-0cm3cm-Rep1-WFSIP01,1.7297
WF52-G2-0cm3cm-Rep1-WFSIP01,1.7242
WF52-H2-0cm3cm-Rep1-WFSIP01,1.7209
WF52-A3-0cm3cm-Rep1-WFSIP01,1.7177
WF52-B3-0cm3cm-Rep1-WFSIP01,1.7144
WF52-C3-0cm3cm-Rep1-WFSIP01,1.7078
WF52-D3-0cm3cm-Rep1-WFSIP01,1.7067
WF52-E3-0cm3cm-Rep1-WFSIP01,1.7024
WF52-F3-0cm3cm-Rep1-WFSIP01,1.6991
WF52-G3-0cm3cm-Rep1-WFSIP01,1.6958
WF52-H3-0cm3cm-Rep1-WFSIP01,1.6925
WF52-A4-0cm3cm-Rep1-WFSIP01,1.6871
WF52-B4-0cm3cm-Rep1-WFSIP01,1.6827
WF52-C4-0cm3cm-Rep1-WFSIP01,1.6805
WF52-D4-0cm3cm-Rep1-WFSIP01,1.675
WF55-H1-0cm3cm-Rep1-WFSIP01,1.757
WF55-A2-0cm3cm-Rep1-WFSIP01,1.7537
WF55-B2-0cm3cm-Rep1-WFSIP01,1.7472
WF55-C2-0cm3cm-Rep1-WFSIP01,1.7395
WF55-D2-0cm3cm-Rep1-WFSIP01,1.7384
WF55-E2-0cm3cm-Rep1-WFSIP01,1.733
WF55-F2-0cm3cm-Rep1-WFSIP01,1.7297
WF55-G2-0cm3cm-Rep1-WFSIP01,1.7242
WF55-H2-0cm3cm-Rep1-WFSIP01,1.7209
WF55-A3-0cm3cm-Rep1-WFSIP01,1.7177
WF55-B3-0cm3cm-Rep1-WFSIP01,1.7122
WF55-C3-0cm3cm-Rep1-WFSIP01,1.7122
WF55-D3-0cm3cm-Rep1-WFSIP01,1.7067
WF55-E3-0cm3cm-Rep1-WFSIP01,1.7013
WF55-F3-0cm3cm-Rep1-WFSIP01,1.698
WF55-G3-0cm3cm-Rep1-WFSIP01,1.6958
WF55-H3-0cm3cm-Rep1-WFSIP01,1.6903
WF55-A4-0cm3cm-Rep1-WFSIP01,1.6882
WF55-B4-0cm3cm-Rep1-WFSIP01,1.6827
WF55-C4-0cm3cm-Rep1-WFSIP01,1.6794
WF60-G1-0cm3cm-Rep1-WFSIP01,1.757
WF60-H1-0cm3cm-Rep1-WFSIP01,1.7537
WF60-A2-0cm3cm-Rep1-WFSIP01,1.7483
WF60-B2-0cm3cm-Rep1-WFSIP01,1.745
WF60-C2-0cm3cm-Rep1-WFSIP01,1.7395
WF60-D2-0cm3cm-Rep1-WFSIP01,1.7351
WF60-E2-0cm3cm-Rep1-WFSIP01,1.7319
WF60-F2-0cm3cm-Rep1-WFSIP01,1.7286
WF60-G2-0cm3cm-Rep1-WFSIP01,1.7231
WF60-H2-0cm3cm-Rep1-WFSIP01,1.7198
WF60-A3-0cm3cm-Rep1-WFSIP01,1.7144
WF60-B3-0cm3cm-Rep1-WFSIP01,1.7122
WF60-C3-0cm3cm-Rep1-WFSIP01,1.7067
WF60-D3-0cm3cm-Rep1-WFSIP01,1.7024
WF60-E3-0cm3cm-Rep1-WFSIP01,1.6991
WF60-F3-0cm3cm-Rep1-WFSIP01,1.6936
WF60-G3-0cm3cm-Rep1-WFSIP01,1.6903
WF60-H3-0cm3cm-Rep1-WFSIP01,1.6882
WF60-A4-0cm3cm-Rep1-WFSIP01,1.6849
WF60-B4-0cm3cm-Rep1-WFSIP01,1.6805
WF60-C4-0cm3cm-Rep1-WFSIP01,1.6794
PC65912-H1-9cm12cm-Rep1-WFSIP02,1.7570
PC65912-A2-9cm12cm-Rep1-WFSIP02,1.7515
PC65912-B2-9cm12cm-Rep1-WFSIP02,1.7504
